G1,G2,Subject,No,Data1,Data2,Data3,Labels
post3,tryp,dish3,n8,0.900434017,0.069059044,0.030506942,0
post3,tryp,dish3,n9,0.490067333,0.184225246,0.325707406,0
post3,tryp,dish3,n10,0.058746301,0.102111705,0.839142025,2
post3,tryp,dish3,n11,0.092036523,0.86518383,0.042779639,1
post4,control,dish1,n0,0.217404827,0.766511202,0.016084019,1
post4,control,dish1,n1,0.622475386,0.182930887,0.194593787,0
post4,control,dish1,n2,0.615236878,0.034480095,0.350283116,0
post4,control,dish1,n3,0.766070068,0.08194346,0.151986465,0
post4,control,dish1,n4,0.567137063,0.362298369,0.070564546,0
post4,control,dish1,n5,0.769979835,0.02856113,0.20145905,0
post4,control,dish1,n6,0.692064762,0.198391497,0.109543808,0
post4,control,dish1,n7,0.812793076,0.09824089,0.08896599,0
post4,control,dish1,n8,0.884221911,0.014863922,0.100914173,0
post4,control,dish1,n9,0.361958444,0.561993241,0.076048367,1
post4,control,dish1,n10,0.965704679,0.018679338,0.01561605,0
post4,control,dish1,n11,0.615667224,0.130953923,0.253378928,0
post8,control,dish8,n0,0.320702285,0.015740907,0.663556755,2
post8,control,dish8,n1,0.597502351,0.336158782,0.066338815,0
post8,control,dish8,n2,0.832482815,0.14116165,0.026355566,0
post8,control,dish8,n3,0.42204538,0.03174755,0.54620719,2
post8,control,dish8,n4,0.672135234,0.271932483,0.055932269,0
post8,control,dish8,n5,0.378357649,0.358581334,0.263060987,0
post8,control,dish8,n6,0.574670076,0.065779172,0.359550744,0
post8,control,dish8,n7,0.542593122,0.422668368,0.034738541,0
post8,control,dish8,n8,0.42570287,0.366297424,0.207999781,0
post8,control,dish8,n9,0.70156014,0.186020136,0.11241968,0
post8,control,dish8,n10,0.928453505,0.049065109,0.022481401,0
post8,control,dish8,n11,0.901222587,0.028025866,0.070751451,0
pre1,control,dish1,n0,0.320436925,0.627293646,0.052269522,1
pre1,control,dish1,n1,0.085509777,0.176429033,0.738061249,2
pre1,control,dish1,n2,0.750189245,0.055669338,0.194141373,0
pre1,control,dish1,n3,0.823175967,0.043630868,0.133193269,0
pre1,control,dish1,n4,0.764642656,0.145231709,0.090125598,0
pre1,control,dish1,n5,0.333424598,0.596772432,0.069802932,1
pre1,control,dish1,n6,0.374780536,0.027016096,0.598203361,2
pre1,control,dish1,n7,0.278417975,0.656348407,0.065233588,1
pre1,control,dish1,n8,0.602674842,0.363473713,0.033851534,0
pre1,control,dish1,n9,0.260076582,0.017605018,0.722318411,2
pre1,control,dish1,n10,0.206262678,0.772399247,0.02133807,1
pre1,control,dish1,n11,0.475360543,0.030788979,0.49385044,2
pre1,control,dish6,n0,0.285222083,0.699757755,0.015020089,1
pre1,control,dish6,n1,0.188288584,0.051203858,0.760507524,2
pre1,control,dish6,n2,0.678280294,0.269021451,0.052698255,0
pre1,control,dish6,n3,0.887409091,0.029395303,0.083195716,0
pre1,control,dish6,n4,0.719358146,0.257808268,0.022833552,0
pre1,control,dish6,n5,0.506321967,0.447893679,0.045784447,0
pre1,control,dish6,n6,0.129817218,0.017234933,0.852947831,2
pre1,control,dish6,n7,0.186746433,0.772821724,0.040431827,1
pre1,control,dish6,n8,0.831169903,0.129876852,0.038953252,0
pre1,control,dish6,n9,0.505518734,0.015092315,0.479388982,0
pre1,control,dish6,n10,0.591666222,0.109996669,0.298337132,0
pre1,control,dish6,n11,0.406295359,0.425107628,0.168597057,1
pre1,control,dish8,n0,0.871659517,0.037512094,0.090828419,0
pre1,control,dish8,n1,0.640336156,0.170772284,0.188891545,0
pre1,control,dish8,n2,0.747828007,0.053107832,0.199064225,0
pre1,control,dish8,n3,0.799661458,0.183060735,0.017277749,0
pre1,control,dish8,n4,0.865897357,0.06125832,0.072844371,0
pre1,control,dish8,n5,0.597494423,0.363171041,0.039334457,0
pre1,control,dish8,n6,0.594080091,0.137907058,0.268012911,0
pre1,control,dish8,n7,0.790546358,0.163782969,0.045670684,0
pre1,control,dish8,n8,0.842583776,0.051591083,0.105825178,0
pre1,control,dish8,n9,0.621744454,0.205413654,0.172841966,0
pre1,control,dish8,n10,0.453152567,0.036360975,0.510486543,2
pre1,control,dish8,n11,0.8828215,0.080947444,0.036231067,0
pre1,control,dish10,n0,0.479849339,0.106955372,0.413195282,0
pre1,control,dish10,n1,0.780469894,0.191400841,0.028129287,0
pre1,control,dish10,n2,0.669156551,0.163358212,0.167485252,0
pre1,control,dish10,n3,0.820516706,0.111368291,0.068115108,0
pre1,control,dish10,n4,0.866865218,0.04604806,0.087086715,0
pre1,control,dish10,n5,0.884295404,0.070859291,0.044845335,0
pre1,control,dish10,n6,0.619543552,0.305930346,0.074526168,0
pre1,control,dish10,n7,0.76159656,0.031747803,0.206655711,0
pre1,control,dish10,n8,0.829167008,0.128474057,0.042358916,0
pre1,control,dish10,n9,0.838845491,0.063200049,0.097954497,0
pre1,control,dish10,n10,0.745713472,0.144978985,0.109307535,0
